dataset,language,domain,process,status,path_or_access,size,license,source
BPI Challenge 2011,EN,healthcare,Dutch academic hospital patient/admin process,downloaded,BPI2011/Hospital_log.xes.gz,2 MB,4TU,https://doi.org/10.4121/uuid:d9769f3d-0ab0-4fb8-803b-0d1120ffcf54
BPI Challenge 2012,EN,finance,Bank loan application,downloaded,BPI2012/BPI_Challenge_2012.xes.gz,3 MB,4TU,https://doi.org/10.4121/uuid:3926db30-f712-4394-aebc-75976070e91f
BPI Challenge 2013 incidents,EN,IT service,Volvo IT incident management,downloaded,BPI2013_incidents/BPI_Challenge_2013_incidents.xes.gz,1 MB,4TU,https://doi.org/10.4121/uuid:500573e6-accc-4b0c-9576-aa5468b10cee
BPI Challenge 2013 closed problems,EN,IT service,Volvo IT closed problems,downloaded,BPI2013_closed/BPI_Challenge_2013_closed_problems.xes.gz,<1 MB,4TU,https://doi.org/10.4121/uuid:c2c3b154-ab26-4b31-a0e8-8f2350ddac11
BPI Challenge 2013 open problems,EN,IT service,Volvo IT open problems,downloaded,BPI2013_open/BPI_Challenge_2013_open_problems.xes.gz,<1 MB,4TU,https://doi.org/10.4121/uuid:3537c19d-6c64-4b1d-815d-915ab0e479da
BPI Challenge 2015,EN,government,Construction permit applications (Dutch municipalities),downloaded,BPI2015/BPIC15_1.xes,39 MB,4TU,https://doi.org/10.4121/uuid:a0addfda-2044-4541-a450-fdcc9fe16d17
BPI Challenge 2016,EN,public sector,UWV website clickstream (off-topic; kept compressed),downloaded,BPI2016/BPI2016_Clicks_NOT_Logged_In.csv.zip,156 MB,4TU,https://doi.org/10.4121/uuid:9b99a146-51b5-48df-aa70-288a76c82ec4
BPI Challenge 2017,EN,finance,Bank loan application (full),downloaded,BPI2017/BPI Challenge 2017.xes.gz,28 MB,4TU,https://doi.org/10.4121/uuid:5f3067df-f10b-45da-b98b-86ae4c7a310b
BPI Challenge 2017 offer log,EN,finance,Bank loan application (offers),downloaded,BPI2017_offer/BPI Challenge 2017 - Offer log.xes.gz,4 MB,4TU,https://doi.org/10.4121/12705737
BPI Challenge 2018,EN,government,EU agricultural subsidy payments,downloaded,BPI2018/BPI Challenge 2018.xes.gz,150 MB,CC0,https://doi.org/10.4121/uuid:3301445f-95e8-4ff0-98a4-901f1f204972
BPI Challenge 2019,EN,procurement,Purchase order handling,downloaded,BPI2019/BPI_Challenge_2019.xes,694 MB,CC BY 4.0,https://doi.org/10.4121/uuid:d06aff4b-79f0-45e6-8ec8-e19730c248f1
BPI Challenge 2020 DomesticDeclarations,EN,administrative,University travel reimbursement (domestic),downloaded,BPI2020_12692543/DomesticDeclarations.xes.gz,<1 MB,CC BY-NC 4.0,https://doi.org/10.4121/uuid:52fb97d4-4588-43c9-9d04-3604d4613b51
BPI Challenge 2020 InternationalDeclarations,EN,administrative,University travel reimbursement (international),downloaded,BPI2020_12687374/InternationalDeclarations.xes.gz,1 MB,CC BY-NC 4.0,https://doi.org/10.4121/uuid:52fb97d4-4588-43c9-9d04-3604d4613b51
BPI Challenge 2020 PrepaidTravelCost,EN,administrative,University travel prepaid costs,downloaded,BPI2020_12696722/PrepaidTravelCost.xes.gz,<1 MB,CC BY-NC 4.0,https://doi.org/10.4121/uuid:52fb97d4-4588-43c9-9d04-3604d4613b51
BPI Challenge 2020 RequestForPayment,EN,administrative,University payment requests,downloaded,BPI2020_12706886/RequestForPayment.xes.gz,<1 MB,CC BY-NC 4.0,https://doi.org/10.4121/uuid:52fb97d4-4588-43c9-9d04-3604d4613b51
BPI Challenge 2020 PermitLog,EN,administrative,University travel permits,downloaded,BPI2020_12718178/PermitLog.xes.gz,1 MB,CC BY-NC 4.0,https://doi.org/10.4121/uuid:52fb97d4-4588-43c9-9d04-3604d4613b51
Hospital Billing,EN,healthcare,Hospital billing process,downloaded,HospitalBilling/Hospital Billing - Event Log.xes.gz,6 MB,4TU,https://doi.org/10.4121/uuid:76c46b83-c930-4798-a1c9-4be94dfeb741
Road Traffic Fine Management,EN,government,Municipal traffic fine handling,downloaded,RoadTrafficFines/Road_Traffic_Fine_Management_Process.xes.gz,3 MB,4TU,https://doi.org/10.4121/uuid:270fd440-1057-4fb9-89a9-b699b47990f5
Sepsis Cases,EN,healthcare,Hospital sepsis case management,downloaded,Sepsis/Sepsis Cases - Event Log.xes.gz,<1 MB,4TU,https://doi.org/10.4121/uuid:915d2bfb-7e84-49ad-a286-dc35f063a460
Arabic-LJP,AR,legal,Saudi commercial-court judgment prediction (4290 cases),downloaded,arabic/Arabic-LJP/,7.5 MB,see HF repo,https://huggingface.co/datasets/mbayan/Arabic-LJP
SANAD,AR,text classification,Arabic news articles categorization (~190K),downloaded,arabic/SANAD/,383 MB,CC BY 4.0,https://data.mendeley.com/datasets/57zpx667y9/2
